sample_index,condition,nll,perplexity
0,full,4.509820938110352,90.9055393354302
0,induction_ablation,4.982266426086426,145.80446249772075
0,random_ablation_control,4.577566623687744,97.27739346303126
1,full,4.464787483215332,86.90255932471943
1,induction_ablation,5.547471046447754,256.587835977036
1,random_ablation_control,4.691178321838379,108.98151948423265
2,full,5.023260116577148,151.90572779755476
2,induction_ablation,5.451000690460205,232.99120136255254
2,random_ablation_control,5.273554801940918,195.10830252289523
3,full,3.9893245697021484,54.0183913806128
3,induction_ablation,4.464995384216309,86.92062833200774
3,random_ablation_control,3.9868080615997314,53.88262456182253
4,full,4.723464488983154,112.55753228153645
4,induction_ablation,5.894781112670898,363.13734103633175
4,random_ablation_control,4.996379852294922,147.87685288482166
5,full,4.526228427886963,92.40937438521766
5,induction_ablation,5.45860481262207,234.769648113994
5,random_ablation_control,4.6758341789245605,107.32205555904653
6,full,4.318395137786865,75.06805767910842
6,induction_ablation,4.859647750854492,128.97876144612297
6,random_ablation_control,4.389411926269531,80.59301040969441
7,full,4.172276496887207,64.86294445191383
7,induction_ablation,4.866846561431885,129.91060517730304
7,random_ablation_control,4.319213390350342,75.12950744702604
8,full,4.00103235244751,54.654543671007026
8,induction_ablation,4.685190200805664,108.3308749684977
8,random_ablation_control,4.229450702667236,68.67949634654194
9,full,4.638199806213379,103.3581153694525
9,induction_ablation,4.966080665588379,143.46350260289006
9,random_ablation_control,4.960762977600098,142.70263328413577
10,full,4.869211673736572,130.21822197886408
10,induction_ablation,4.760615825653076,116.81784317703017
10,random_ablation_control,4.872637748718262,130.6651244949661
11,full,4.125385284423828,61.89165054615345
11,induction_ablation,4.490617752075195,89.17651784545411
11,random_ablation_control,4.247438430786133,69.92606228755926
